promotionid,promotiondistrictid,promotionname,mediatype,cost,startdate,enddate
351,114,MysterySale,Radio,11540.0000,1997-04-23,1997-04-26
352,114,TipTopSavings,SundayPaper|Radio|TV,12247.0000,1997-05-07,1997-05-10
353,114,PriceDestroyers,ProductAttachment,10818.0000,1997-05-20,1997-05-21
354,114,GreenLightDays,SundayPaper|Radio|TV,6306.0000,1997-06-03,1997-06-05
355,114,PriceCutters,Radio,8896.0000,1997-06-20,1997-06-21
356,114,WeekendMarkdown,SundayPaper,8656.0000,1997-07-02,1997-07-05
357,114,DoubleYourSavings,CashRegisterHandout,12100.0000,1997-07-17,1997-07-19
358,114,Save-ItSale,CashRegisterHandout,9498.0000,1997-08-01,1997-08-02
359,114,BigTimeSavings,SundayPaper|Radio|TV,7976.0000,1997-08-15,1997-08-17
360,114,PriceSmashers,DailyPaper|Radio,12102.0000,1997-08-29,1997-09-01
361,114,CouponSpectacular,SundayPaper|Radio,7763.0000,1997-09-12,1997-09-14
362,114,GreenLightSpecial,DailyPaper|Radio,9325.0000,1997-09-25,1997-09-26
363,114,BigPromo,DailyPaper|Radio|TV,9004.0000,1997-10-10,1997-10-13
364,114,ThreeforOne,In-StoreCoupon,14838.0000,1997-10-21,1997-10-23
365,114,SaleWinners,CashRegisterHandout,5372.0000,1997-11-07,1997-11-11
366,114,BestSavings,BulkMail,12315.0000,1997-11-21,1997-11-22
367,114,ThreeforOne,SundayPaper|Radio,13196.0000,1997-12-02,1997-12-06
368,114,PriceSavers,DailyPaper|Radio|TV,11985.0000,1997-12-17,1997-12-21
369,114,DollarCutters,ProductAttachment,7392.0000,1998-01-01,1998-01-03
370,114,PriceWinners,ProductAttachment,12372.0000,1998-01-14,1998-01-16
371,114,CouponSpectacular,DailyPaper|Radio,11798.0000,1998-01-30,1998-01-31
372,114,SaleWinners,BulkMail,11050.0000,1998-02-10,1998-02-12
373,114,SavingDays,CashRegisterHandout,8674.0000,1998-02-25,1998-02-28
374,114,SuperDuperSavers,TV,11691.0000,1998-03-13,1998-03-17
375,114,BestSavings,DailyPaper|Radio,9661.0000,1998-03-25,1998-03-29
376,114,BestSavings,DailyPaper,10623.0000,1998-04-08,1998-04-11
377,114,MysterySale,StreetHandout,13120.0000,1998-04-22,1998-04-24
378,114,DoubleDownSale,SundayPaper,11518.0000,1998-05-05,1998-05-06
379,114,TwoforOne,SundayPaper|Radio,11935.0000,1998-05-21,1998-05-23
380,114,MoneySavers,StreetHandout,14606.0000,1998-06-02,1998-06-03
381,114,BestSavings,CashRegisterHandout,14632.0000,1998-06-18,1998-06-20
382,114,CouponSpectacular,SundayPaper|Radio|TV,8411.0000,1998-06-30,1998-07-04
383,114,FreeForAll,CashRegisterHandout,6127.0000,1998-07-14,1998-07-18
384,114,ICantBelieveItSale,DailyPaper,10506.0000,1998-07-30,1998-07-31
385,114,PriceSmashers,DailyPaper,12750.0000,1998-08-14,1998-08-16
386,114,TwoforOne,DailyPaper,14565.0000,1998-08-26,1998-08-28
387,114,PriceWinners,DailyPaper,10827.0000,1998-09-10,1998-09-13
388,114,SuperWalletSavers,SundayPaper|Radio|TV,6915.0000,1998-09-24,1998-09-27
389,114,DollarCutters,BulkMail,7933.0000,1998-10-09,1998-10-10
390,114,SuperSavers,SundayPaper|Radio|TV,7786.0000,1998-10-21,1998-10-25
391,114,GoForIt,SundayPaper,12593.0000,1998-11-05,1998-11-08
392,114,SuperSavers,CashRegisterHandout,10390.0000,1998-11-17,1998-11-19
393,114,BagStuffers,StreetHandout,12379.0000,1998-12-03,1998-12-06
394,114,TwoDaySale,CashRegisterHandout,7613.0000,1998-12-18,1998-12-21
397,115,SuperWalletSavers,DailyPaper|Radio|TV,7333.0000,1996-01-18,1996-01-20
398,115,SalesDays,ProductAttachment,10604.0000,1996-01-30,1996-02-02
399,115,TipTopSavings,SundayPaper|Radio,6566.0000,1996-02-13,1996-02-16
400,115,Save-ItSale,CashRegisterHandout,7781.0000,1996-02-28,1996-03-01
401,115,SalesDays,BulkMail,9516.0000,1996-03-13,1996-03-15
402,115,WalletSavers,SundayPaper,8168.0000,1996-03-27,1996-03-31
403,115,BagStuffers,ProductAttachment,11265.0000,1996-04-10,1996-04-11
404,115,DollarDays,DailyPaper|Radio|TV,6846.0000,1996-04-24,1996-04-27
405,115,WalletSavers,TV,10798.0000,1996-05-09,1996-05-12
406,115,TwoforOne,DailyPaper|Radio,7487.0000,1996-05-21,1996-05-24
407,115,WalletSavers,SundayPaper,9129.0000,1996-06-04,1996-06-05
408,115,PriceDestroyers,DailyPaper,6418.0000,1996-06-19,1996-06-21
409,115,WeekendMarkdown,DailyPaper|Radio|TV,12588.0000,1996-07-02,1996-07-05
410,115,SuperWalletSavers,DailyPaper,11245.0000,1996-07-16,1996-07-19
411,115,MysterySale,CashRegisterHandout,14088.0000,1996-07-31,1996-08-03
412,115,PriceDestroyers,SundayPaper|Radio,10431.0000,1996-08-16,1996-08-19
413,115,HighRollerSavings,TV,14129.0000,1996-08-27,1996-08-29
414,115,SalesDays,SundayPaper|Radio|TV,14236.0000,1996-09-10,1996-09-13
415,115,PriceSlashers,BulkMail,5624.0000,1996-09-26,1996-09-29
416,115,BigPromo,In-StoreCoupon,6331.0000,1996-10-10,1996-10-13
417,115,SavingDays,StreetHandout,12247.0000,1996-10-23,1996-10-26
418,115,PriceSmashers,BulkMail,10390.0000,1996-11-07,1996-11-11
419,115,SaleWinners,StreetHandout,10324.0000,1996-11-20,1996-11-24
420,115,SuperDuperSavers,ProductAttachment,6642.0000,1996-12-06,1996-12-08
421,115,CouponSpectacular,TV,7430.0000,1996-12-18,1996-12-19
422,115,TwoDaySale,SundayPaper|Radio,13611.0000,1997-01-01,1997-01-04
423,115,DimesOff,In-StoreCoupon,12090.0000,1997-01-15,1997-01-18
424,115,TwoforOne,In-StoreCoupon,6215.0000,1997-01-28,1997-02-01
425,115,GreenLightDays,DailyPaper|Radio|TV,11876.0000,1997-02-12,1997-02-15
426,115,PriceWinners,Radio,13438.0000,1997-02-26,1997-02-28
427,115,YouSaveDays,StreetHandout,13117.0000,1997-03-12,1997-03-16
428,115,PriceSlashers,SundayPaper,8952.0000,1997-03-27,1997-03-31
429,115,OneDaySale,SundayPaper|Radio,9486.0000,1997-04-09,1997-04-11
430,115,ThreeforOne,CashRegisterHandout,10331.0000,1997-04-23,1997-04-26
431,115,TwoforOne,StreetHandout,8555.0000,1997-05-08,1997-05-11
432,115,DimesOff,StreetHandout,6099.0000,1997-05-22,1997-05-24
433,115,Save-ItSale,SundayPaper|Radio,11506.0000,1997-06-03,1997-06-07
434,115,ShelfClearingDays,SundayPaper|Radio|TV,6486.0000,1997-06-19,1997-06-22
435,115,GoForIt,In-StoreCoupon,13255.0000,1997-07-02,1997-07-04
436,115,TipTopSavings,CashRegisterHandout,12508.0000,1997-07-16,1997-07-19
437,115,MysterySale,SundayPaper|Radio,12788.0000,1997-07-31,1997-08-01
438,115,Save-ItSale,CashRegisterHandout,13148.0000,1997-08-13,1997-08-15
439,115,ThreeforOne,Radio,11119.0000,1997-08-29,1997-08-31
440,115,DoubleYourSavings,ProductAttachment,12080.0000,1997-09-12,1997-09-15
441,115,WalletSavers,DailyPaper|Radio|TV,11135.0000,1997-09-26,1997-09-30
442,115,ShelfClearingDays,DailyPaper|Radio|TV,9533.0000,1997-10-08,1997-10-10
443,115,SuperSavers,DailyPaper|Radio|TV,6049.0000,1997-10-22,1997-10-25
444,115,ShelfEmptiers,DailyPaper,8719.0000,1997-11-05,1997-11-07
445,115,ThreeforOne,SundayPaper|Radio,6089.0000,1997-11-21,1997-11-24
446,115,GreenLightDays,In-StoreCoupon,12524.0000,1997-12-03,1997-12-05
447,115,SavingDays,SundayPaper|Radio,7585.0000,1997-12-18,1997-12-20
448,115,FantasticDiscounts,ProductAttachment,14620.0000,1998-01-02,1998-01-04
449,115,TwoforOne,CashRegisterHandout,6863.0000,1998-01-14,1998-01-17
450,115,PriceWinners,ProductAttachment,8679.0000,1998-01-29,1998-02-01
451,115,BigTimeDiscounts,StreetHandout,6274.0000,1998-02-13,1998-02-17
452,115,TwoforOne,CashRegisterHandout,12363.0000,1998-02-24,1998-02-28
453,115,TwoDaySale,Radio,9479.0000,1998-03-10,1998-03-11
454,115,ShelfClearingDays,DailyPaper,6676.0000,1998-03-25,1998-03-26
455,115,PickYourSavings,SundayPaper|Radio|TV,14138.0000,1998-04-10,1998-04-14
456,115,SavingsGalore,Radio,11936.0000,1998-04-22,1998-04-25
457,115,PriceDestroyers,SundayPaper|Radio,13925.0000,1998-05-08,1998-05-11
458,115,PriceWinners,Radio,9158.0000,1998-05-19,1998-05-22
459,115,DollarCutters,DailyPaper|Radio,12510.0000,1998-06-05,1998-06-06
460,115,OneDaySale,StreetHandout,14672.0000,1998-06-17,1998-06-19
461,115,PriceSavers,SundayPaper|Radio,5436.0000,1998-07-02,1998-07-06
462,115,GoForIt,BulkMail,8707.0000,1998-07-17,1998-07-19
463,115,ICantBelieveItSale,ProductAttachment,13260.0000,1998-07-30,1998-08-03
464,115,SaleWinners,SundayPaper|Radio,14475.0000,1998-08-14,1998-08-15
465,115,SavingsGalore,SundayPaper,13554.0000,1998-08-28,1998-08-29
466,115,PriceDestroyers,CashRegisterHandout,14862.0000,1998-09-08,1998-09-11
467,115,TipTopSavings,DailyPaper|Radio,7959.0000,1998-09-22,1998-09-25
468,115,YouSaveDays,Radio,10884.0000,1998-10-08,1998-10-10
469,115,SuperSavers,StreetHandout,14836.0000,1998-10-21,1998-10-23
470,115,DimesOff,Radio,11525.0000,1998-11-04,1998-11-08
471,115,SuperSavers,DailyPaper,5823.0000,1998-11-19,1998-11-22
472,115,OneDaySale,SundayPaper|Radio,11703.0000,1998-12-04,1998-12-05
473,115,DimesOff,SundayPaper|Radio,10528.0000,1998-12-17,1998-12-18
474,115,FreeForAll,ProductAttachment,5254.0000,1998-12-30,1998-12-31
476,116,SavingDays,BulkMail,14440.0000,1996-01-17,1996-01-18
477,116,PriceWinners,CashRegisterHandout,8138.0000,1996-02-01,1996-02-05
478,116,HighRollerSavings,In-StoreCoupon,8244.0000,1996-02-15,1996-02-19
479,116,ICantBelieveItSale,DailyPaper|Radio,9633.0000,1996-02-27,1996-02-29
480,116,GoForIt,SundayPaper,10340.0000,1996-03-12,1996-03-13
481,116,MysterySale,BulkMail,6255.0000,1996-03-27,1996-03-28
482,116,FreeForAll,SundayPaper|Radio,8464.0000,1996-04-09,1996-04-11
483,116,ByeByeBaby,ProductAttachment,8398.0000,1996-04-25,1996-04-27
484,116,PriceSavers,StreetHandout,10814.0000,1996-05-08,1996-05-11
485,116,GoForIt,CashRegisterHandout,11602.0000,1996-05-24,1996-05-27
486,116,SuperSavers,DailyPaper|Radio|TV,5127.0000,1996-06-06,1996-06-10
487,116,DollarDays,ProductAttachment,6262.0000,1996-06-19,1996-06-21
488,116,PriceWinners,SundayPaper,10387.0000,1996-07-03,1996-07-05
489,116,PriceSmashers,StreetHandout,6048.0000,1996-07-18,1996-07-22
490,116,TwoDaySale,BulkMail,7610.0000,1996-07-31,1996-08-03
491,116,WeekendMarkdown,DailyPaper,7289.0000,1996-08-14,1996-08-16
492,116,HighRollerSavings,In-StoreCoupon,11714.0000,1996-08-27,1996-08-29
493,116,ThreeforOne,DailyPaper,12248.0000,1996-09-13,1996-09-17
494,116,HighRollerSavings,TV,11847.0000,1996-09-26,1996-09-29
495,116,PriceWinners,ProductAttachment,10072.0000,1996-10-10,1996-10-14
496,116,MoneySavers,SundayPaper,7615.0000,1996-10-24,1996-10-26
497,116,TwoDaySale,SundayPaper,13022.0000,1996-11-06,1996-11-09
498,116,SuperWalletSavers,DailyPaper,8002.0000,1996-11-21,1996-11-25
499,116,PriceSmashers,CashRegisterHandout,14771.0000,1996-12-04,1996-12-06
500,116,BestSavings,Radio,14024.0000,1996-12-19,1996-12-22
501,116,DollarDays,SundayPaper,14304.0000,1997-01-02,1997-01-03
502,116,TwoDaySale,DailyPaper|Radio,11252.0000,1997-01-14,1997-01-18
503,116,HighRollerSavings,DailyPaper,9222.0000,1997-01-30,1997-01-31
504,116,HighRollerSavings,DailyPaper,10184.0000,1997-02-12,1997-02-16
505,116,WeekendMarkdown,StreetHandout,5337.0000,1997-02-25,1997-02-27
506,116,ShelfEmptiers,StreetHandout,13734.0000,1997-03-14,1997-03-18
507,116,MoneySavers,CashRegisterHandout,10250.0000,1997-03-27,1997-03-29
508,116,PriceCutters,ProductAttachment,12920.0000,1997-04-11,1997-04-15
509,116,SalesDays,DailyPaper|Radio|TV,10290.0000,1997-04-23,1997-04-24
510,116,PickYourSavings,SundayPaper,6725.0000,1997-05-08,1997-05-11
511,116,ShelfEmptiers,BulkMail,11786.0000,1997-05-23,1997-05-25
512,116,SavingsGalore,SundayPaper|Radio|TV,6165.0000,1997-06-04,1997-06-05
513,116,SalesGalore,BulkMail,9655.0000,1997-06-19,1997-06-21
514,116,DollarCutters,BulkMail,14126.0000,1997-07-02,1997-07-06
515,116,BigTimeSavings,DailyPaper,7732.0000,1997-07-16,1997-07-18
516,116,SuperSavers,SundayPaper|Radio,6476.0000,1997-07-30,1997-08-01
517,116,PriceDestroyers,TV,13592.0000,1997-08-13,1997-08-15
518,116,ShelfEmptiers,DailyPaper|Radio|TV,10789.0000,1997-08-28,1997-08-31
519,116,DoubleDownSale,DailyPaper,5596.0000,1997-09-09,1997-09-10
520,116,SuperWalletSavers,TV,6049.0000,1997-09-24,1997-09-28
521,116,BestSavings,DailyPaper|Radio|TV,5382.0000,1997-10-07,1997-10-11
522,116,SalesGalore,TV,10616.0000,1997-10-23,1997-10-25
523,116,YouSaveDays,BulkMail,13181.0000,1997-11-06,1997-11-10
524,116,TwoDaySale,SundayPaper,12688.0000,1997-11-20,1997-11-23
525,116,OneDaySale,DailyPaper|Radio|TV,9550.0000,1997-12-05,1997-12-07
526,116,PriceSavers,CashRegisterHandout,12820.0000,1997-12-16,1997-12-19
527,116,PickYourSavings,Radio,14717.0000,1998-01-02,1998-01-04
528,116,OneDaySale,DailyPaper|Radio|TV,8588.0000,1998-01-14,1998-01-17
529,116,SuperWalletSavers,SundayPaper|Radio,7667.0000,1998-01-28,1998-01-30
530,116,MoneySavers,Radio,6319.0000,1998-02-11,1998-02-12
531,116,BigPromo,Radio,12073.0000,1998-02-26,1998-02-27
532,116,WeekendMarkdown,BulkMail,14997.0000,1998-03-10,1998-03-13
533,116,ShelfClearingDays,SundayPaper|Radio|TV,10196.0000,1998-03-24,1998-03-27
534,116,MysterySale,DailyPaper|Radio,6884.0000,1998-04-07,1998-04-10
535,116,MysterySale,StreetHandout,8527.0000,1998-04-22,1998-04-23
536,116,ByeByeBaby,DailyPaper|Radio|TV,5816.0000,1998-05-06,1998-05-09
537,116,BigTimeDiscounts,DailyPaper|Radio|TV,14641.0000,1998-05-21,1998-05-23
538,116,SavingDays,SundayPaper|Radio|TV,6711.0000,1998-06-04,1998-06-05
539,116,HighRollerSavings,SundayPaper|Radio|TV,9555.0000,1998-06-17,1998-06-19
540,116,MysterySale,CashRegisterHandout,8553.0000,1998-07-02,1998-07-04
541,116,PriceWinners,SundayPaper|Radio,12251.0000,1998-07-17,1998-07-18
542,116,GreenLightSpecial,StreetHandout,12358.0000,1998-07-31,1998-08-01
543,116,FantasticDiscounts,Radio,13746.0000,1998-08-12,1998-08-14
544,116,SavingDays,ProductAttachment,8326.0000,1998-08-28,1998-08-29
545,116,TwoforOne,DailyPaper,6897.0000,1998-09-11,1998-09-14
546,116,UnbeatablePriceSavers,ProductAttachment,12385.0000,1998-09-24,1998-09-25
547,116,TwoDaySale,DailyPaper|Radio,14975.0000,1998-10-07,1998-10-10
548,116,SaleWinners,In-StoreCoupon,14735.0000,1998-10-20,1998-10-22
549,116,Save-ItSale,DailyPaper,8179.0000,1998-11-05,1998-11-09
550,116,BigPromo,SundayPaper|Radio|TV,11704.0000,1998-11-18,1998-11-21
551,116,ICantBelieveItSale,DailyPaper|Radio,12838.0000,1998-12-01,1998-12-05
552,116,BestSavings,CashRegisterHandout,14308.0000,1998-12-15,1998-12-16
553,116,BigTimeSavings,In-StoreCoupon,12625.0000,1998-12-30,1999-01-02
555,117,DimesOff,Radio,12457.0000,1996-01-17,1996-01-18
556,117,ShelfClearingDays,StreetHandout,8291.0000,1996-02-01,1996-02-04
557,117,PriceSavers,SundayPaper,8825.0000,1996-02-15,1996-02-18
558,117,SuperSavers,StreetHandout,5768.0000,1996-02-28,1996-03-01
559,117,MoneySavers,DailyPaper|Radio,6648.0000,1996-03-13,1996-03-16
560,117,ICantBelieveItSale,CashRegisterHandout,14192.0000,1996-03-27,1996-03-28
561,117,SalesDays,CashRegisterHandout,9599.0000,1996-04-12,1996-04-14
562,117,PriceCutters,SundayPaper,11923.0000,1996-04-24,1996-04-27
563,117,TwoDaySale,DailyPaper,11348.0000,1996-05-09,1996-05-10
564,117,GoForIt,TV,14666.0000,1996-05-22,1996-05-25
565,117,PriceWinners,SundayPaper,14946.0000,1996-06-07,1996-06-09
566,117,UnbeatablePriceSavers,In-StoreCoupon,5307.0000,1996-06-19,1996-06-21
567,117,GreenLightSpecial,ProductAttachment,13277.0000,1996-07-02,1996-07-04
568,117,GreenLightSpecial,ProductAttachment,14238.0000,1996-07-18,1996-07-20
569,117,SavingsGalore,DailyPaper,6736.0000,1996-08-01,1996-08-04
570,117,PriceCutters,DailyPaper,5133.0000,1996-08-13,1996-08-17
571,117,ShelfEmptiers,SundayPaper|Radio,14305.0000,1996-08-27,1996-08-29
572,117,UnbeatablePriceSavers,SundayPaper|Radio|TV,6975.0000,1996-09-10,1996-09-11
573,117,UnbeatablePriceSavers,CashRegisterHandout,14345.0000,1996-09-26,1996-09-28
574,117,DoubleDownSale,SundayPaper|Radio|TV,8124.0000,1996-10-08,1996-10-12
575,117,DoubleYourSavings,ProductAttachment,7087.0000,1996-10-23,1996-10-27
576,117,Save-ItSale,ProductAttachment,11466.0000,1996-11-08,1996-11-10
577,117,DollarCutters,CashRegisterHandout,13709.0000,1996-11-20,1996-11-22
578,117,BigTimeDiscounts,DailyPaper|Radio,5525.0000,1996-12-04,1996-12-06
579,117,TipTopSavings,ProductAttachment,11787.0000,1996-12-19,1996-12-22
580,117,MoneySavers,DailyPaper|Radio|TV,7875.0000,1997-01-02,1997-01-05
581,117,BestSavings,In-StoreCoupon,14991.0000,1997-01-16,1997-01-20
582,117,PriceCutters,Radio,14844.0000,1997-01-28,1997-02-01
583,117,SuperDuperSavers,CashRegisterHandout,9650.0000,1997-02-12,1997-02-15
584,117,FreeForAll,DailyPaper,7448.0000,1997-02-27,1997-03-01
585,117,PriceSmashers,BulkMail,5995.0000,1997-03-11,1997-03-15
586,117,PriceSlashers,BulkMail,11229.0000,1997-03-26,1997-03-28
587,117,WeekendMarkdown,CashRegisterHandout,7236.0000,1997-04-08,1997-04-10
588,117,PriceDestroyers,DailyPaper|Radio,6742.0000,1997-04-25,1997-04-28
589,117,BigPromo,Radio,13604.0000,1997-05-06,1997-05-09
590,117,TwoforOne,SundayPaper|Radio,14219.0000,1997-05-21,1997-05-23
591,117,DoubleDownSale,BulkMail,8772.0000,1997-06-04,1997-06-07
592,117,BigPromo,StreetHandout,12643.0000,1997-06-19,1997-06-23
593,117,PriceSavers,DailyPaper|Radio|TV,11722.0000,1997-07-03,1997-07-07
594,117,ShelfEmptiers,TV,10374.0000,1997-07-18,1997-07-20
595,117,ICantBelieveItSale,SundayPaper|Radio|TV,13472.0000,1997-07-31,1997-08-02
596,117,SuperDuperSavers,Radio,10328.0000,1997-08-14,1997-08-16
597,117,DollarDays,In-StoreCoupon,14280.0000,1997-08-27,1997-08-28
598,117,PriceSlashers,Radio,10968.0000,1997-09-10,1997-09-14
599,117,DollarDays,DailyPaper,12611.0000,1997-09-24,1997-09-26
600,117,WalletSavers,CashRegisterHandout,9900.0000,1997-10-09,1997-10-13
601,117,BagStuffers,Radio,8725.0000,1997-10-21,1997-10-24
602,117,MysterySale,BulkMail,10795.0000,1997-11-05,1997-11-08
603,117,GreenLightSpecial,In-StoreCoupon,13639.0000,1997-11-19,1997-11-22
604,117,PriceSlashers,SundayPaper|Radio,12637.0000,1997-12-03,1997-12-06
605,117,PriceCutters,In-StoreCoupon,7581.0000,1997-12-17,1997-12-20
606,117,TwoDaySale,ProductAttachment,7688.0000,1997-12-31,1998-01-04
607,117,DimesOff,In-StoreCoupon,9077.0000,1998-01-13,1998-01-15
608,117,SuperSavers,StreetHandout,9784.0000,1998-01-27,1998-01-29
609,117,PriceWinners,DailyPaper|Radio|TV,8355.0000,1998-02-12,1998-02-16
610,117,MysterySale,StreetHandout,13843.0000,1998-02-27,1998-03-01
611,117,FreeForAll,In-StoreCoupon,6432.0000,1998-03-12,1998-03-16
612,117,TipTopSavings,ProductAttachment,6193.0000,1998-03-24,1998-03-27
613,117,TwoDaySale,DailyPaper|Radio,9637.0000,1998-04-08,1998-04-09
614,117,ThreeforOne,SundayPaper|Radio,13162.0000,1998-04-22,1998-04-25
615,117,SalesDays,DailyPaper|Radio|TV,11640.0000,1998-05-06,1998-05-09
616,117,PriceSlashers,TV,9668.0000,1998-05-21,1998-05-24
617,117,BestSavings,Radio,5329.0000,1998-06-04,1998-06-08
618,117,OneDaySale,TV,6891.0000,1998-06-18,1998-06-21
619,117,MoneySavers,TV,6570.0000,1998-07-02,1998-07-05
620,117,ShelfEmptiers,DailyPaper,12404.0000,1998-07-17,1998-07-19
621,117,BigTimeSavings,DailyPaper|Radio,12938.0000,1998-07-30,1998-08-02
622,117,ShelfClearingDays,SundayPaper,9881.0000,1998-08-13,1998-08-16
623,117,ShelfEmptiers,Radio,10762.0000,1998-08-28,1998-08-31
624,117,PickYourSavings,Radio,5649.0000,1998-09-10,1998-09-12
625,117,BigPromo,SundayPaper|Radio,11056.0000,1998-09-22,1998-09-25
626,117,SaleWinners,In-StoreCoupon,9938.0000,1998-10-06,1998-10-07
627,117,BestSavings,SundayPaper|Radio|TV,9364.0000,1998-10-22,1998-10-26
628,117,BigTimeSavings,SundayPaper,8616.0000,1998-11-05,1998-11-07
629,117,SalesGalore,DailyPaper|Radio,6240.0000,1998-11-17,1998-11-19
630,117,GreenLightDays,SundayPaper,9257.0000,1998-12-03,1998-12-06
631,117,ShelfClearingDays,SundayPaper|Radio|TV,7227.0000,1998-12-16,1998-12-19
634,118,UnbeatablePriceSavers,ProductAttachment,9084.0000,1996-01-17,1996-01-19
635,118,PriceCutters,DailyPaper|Radio,5599.0000,1996-01-31,1996-02-03
636,118,GreenLightDays,BulkMail,12260.0000,1996-02-15,1996-02-19
637,118,PriceWinners,DailyPaper|Radio,12286.0000,1996-02-28,1996-02-29
638,118,MoneySavers,SundayPaper,6064.0000,1996-03-15,1996-03-18
639,118,WeekendMarkdown,DailyPaper|Radio|TV,13781.0000,1996-03-29,1996-04-01
640,118,BagStuffers,SundayPaper|Radio|TV,8160.0000,1996-04-11,1996-04-14
641,118,PriceSlashers,SundayPaper|Radio,10403.0000,1996-04-25,1996-04-26
642,118,UnbeatablePriceSavers,SundayPaper|Radio,12219.0000,1996-05-07,1996-05-08
643,118,ByeByeBaby,SundayPaper|Radio|TV,8481.0000,1996-05-22,1996-05-24
644,118,YouSaveDays,StreetHandout,14569.0000,1996-06-05,1996-06-07
645,118,GoForIt,SundayPaper,11685.0000,1996-06-19,1996-06-22
646,118,UnbeatablePriceSavers,StreetHandout,5440.0000,1996-07-05,1996-07-08
647,118,DoubleYourSavings,ProductAttachment,10247.0000,1996-07-17,1996-07-20
648,118,GreenLightDays,DailyPaper|Radio,8044.0000,1996-08-02,1996-08-03
649,118,TwoforOne,CashRegisterHandout,10033.0000,1996-08-15,1996-08-17
650,118,HighRollerSavings,DailyPaper|Radio,5267.0000,1996-08-29,1996-08-31
651,118,SalesGalore,SundayPaper|Radio,8618.0000,1996-09-11,1996-09-14
652,118,BestSavings,In-StoreCoupon,10781.0000,1996-09-25,1996-09-26
653,118,ICantBelieveItSale,BulkMail,14987.0000,1996-10-10,1996-10-12
654,118,PriceDestroyers,DailyPaper|Radio|TV,8258.0000,1996-10-24,1996-10-26
655,118,SuperDuperSavers,CashRegisterHandout,12810.0000,1996-11-07,1996-11-08
656,118,ICantBelieveItSale,DailyPaper,14025.0000,1996-11-21,1996-11-23
657,118,PriceDestroyers,SundayPaper|Radio,7170.0000,1996-12-06,1996-12-07
658,118,YouSaveDays,ProductAttachment,5822.0000,1996-12-17,1996-12-20
659,118,TwoforOne,DailyPaper|Radio|TV,8919.0000,1997-01-01,1997-01-04
660,118,PriceSavers,TV,14499.0000,1997-01-14,1997-01-16
661,118,SaleWinners,SundayPaper,8452.0000,1997-01-30,1997-02-02
662,118,UnbeatablePriceSavers,TV,5140.0000,1997-02-14,1997-02-16
663,118,SaleWinners,ProductAttachment,6783.0000,1997-02-27,1997-03-03
664,118,PriceWinners,SundayPaper|Radio,14072.0000,1997-03-12,1997-03-13
665,118,TipTopSavings,BulkMail,10242.0000,1997-03-27,1997-03-28
666,118,BigTimeDiscounts,CashRegisterHandout,14967.0000,1997-04-09,1997-04-13
667,118,SuperWalletSavers,DailyPaper|Radio,11713.0000,1997-04-23,1997-04-25
668,118,GreenLightSpecial,StreetHandout,8055.0000,1997-05-08,1997-05-10
669,118,SaleWinners,SundayPaper,11753.0000,1997-05-23,1997-05-25
670,118,PriceDestroyers,StreetHandout,11860.0000,1997-06-06,1997-06-08
671,118,BigTimeDiscounts,SundayPaper,13249.0000,1997-06-18,1997-06-21
672,118,MoneySavers,DailyPaper,13956.0000,1997-07-03,1997-07-05
673,118,SavingsGalore,CashRegisterHandout,9871.0000,1997-07-16,1997-07-18
674,118,PriceSlashers,SundayPaper,8015.0000,1997-07-30,1997-08-02
675,118,SalesGalore,CashRegisterHandout,7948.0000,1997-08-14,1997-08-16
676,118,BestSavings,SundayPaper|Radio|TV,10365.0000,1997-08-27,1997-08-30
677,118,SuperSavers,In-StoreCoupon,11153.0000,1997-09-11,1997-09-13
678,118,WalletSavers,Radio,11236.0000,1997-09-23,1997-09-25
679,118,SuperDuperSavers,DailyPaper,9714.0000,1997-10-07,1997-10-10
680,118,HighRollerSavings,DailyPaper,13840.0000,1997-10-24,1997-10-27
681,118,MysterySale,BulkMail,9501.0000,1997-11-04,1997-11-06
682,118,ByeByeBaby,CashRegisterHandout,11062.0000,1997-11-21,1997-11-25
683,118,BagStuffers,CashRegisterHandout,10742.0000,1997-12-02,1997-12-05
684,118,BigTimeDiscounts,ProductAttachment,6576.0000,1997-12-17,1997-12-20
685,118,DimesOff,Radio,7110.0000,1997-12-30,1997-12-31
686,118,TwoDaySale,DailyPaper|Radio,14053.0000,1998-01-15,1998-01-19
687,118,PriceCutters,CashRegisterHandout,6209.0000,1998-01-28,1998-01-31
688,118,SuperDuperSavers,CashRegisterHandout,13753.0000,1998-02-11,1998-02-12
689,118,PriceSmashers,StreetHandout,9160.0000,1998-02-26,1998-03-01
690,118,ByeByeBaby,SundayPaper,14139.0000,1998-03-12,1998-03-15
691,118,ThreeforOne,DailyPaper,10909.0000,1998-03-24,1998-03-26
692,118,SuperSavers,DailyPaper|Radio,10161.0000,1998-04-08,1998-04-10
693,118,DollarCutters,Radio,10441.0000,1998-04-22,1998-04-25
694,118,PriceSmashers,DailyPaper|Radio,10802.0000,1998-05-05,1998-05-06
695,118,ShelfEmptiers,In-StoreCoupon,8773.0000,1998-05-21,1998-05-22
696,118,TwoDaySale,DailyPaper|Radio|TV,9734.0000,1998-06-03,1998-06-07
697,118,FreeForAll,Radio,14887.0000,1998-06-17,1998-06-19
698,118,CouponSpectacular,SundayPaper,14531.0000,1998-07-03,1998-07-07
