productclassid,productid,brandname,productname,SKU,SRP,grossweight,netweight,recyclablepackage,lowfat,unitspercase,casesperpallet,shelfwidth,shelfheight,shelfdepth
83,235,BestChoice,BestChoiceCheeseDip,90079469084,3.5500,11.5,8.5,0,0,35,10,7.91,22,14.7
83,236,BestChoice,BestChoiceFondueMix,98134089112,1.8100,10.8,8.8,0,1,7,13,17,11.1,6.88
84,237,BestChoice,BestChoiceMiniDonuts,86234189867,2.6800,21.6,19.6,1,1,23,14,12,9.93,12.8
17,238,BestChoice,BestChoiceBeefJerky,63526576161,1.9700,8.17,5.17,0,1,32,8,17,13.7,3.98
84,239,BestChoice,BestChoiceChocolateDonuts,86962313055,2.2100,16.5,14.5,1,1,5,14,22.7,17.9,10.7
12,240,BestChoice,BestChoiceLowFatChips,33492465615,0.8600,7.13,6.13,0,1,33,12,5.62,5.04,10.9
82,241,BestChoice,BestChoiceSesameCrackers,50068098902,2.9100,21.5,20.5,1,0,24,9,20.2,6.32,5.83
45,242,BestChoice,BestChoiceFrostedCookies,20716846585,2.5900,9.51,7.51,0,1,23,8,10.1,20.1,11.4
109,243,BestChoice,BestChoiceDriedApples,72628116011,2.1100,6.6,3.59,1,1,6,11,16.6,20.2,16.7
109,244,BestChoice,BestChoiceAppleFruitRoll,47633801102,2.7000,7.29,4.28,1,1,22,5,12.5,8.36,13.4
109,245,BestChoice,BestChoiceStrawberryFruitRoll,68782836794,1.4900,9.9,6.89,0,0,19,6,5.81,17.6,12
109,246,BestChoice,BestChoiceRaspberryFruitRoll,13026288151,3.2100,18.8,17.7,1,0,22,7,22.9,8.59,11.1
109,247,BestChoice,BestChoiceGrapeFruitRoll,93413090109,1.7800,13,10,0,0,17,9,8.47,14.1,12.1
109,248,BestChoice,BestChoiceDriedDates,72992177605,0.8600,14.7,12.6,1,1,26,10,7.37,4.48,8.54
109,249,BestChoice,BestChoiceRaisins,32616745829,1.5900,20,18,0,0,28,9,16.1,20.6,6.27
109,250,BestChoice,BestChoiceGoldenRaisins,95335729718,2.5900,13.4,12.3,0,0,18,9,14.2,6.05,10.2
109,251,BestChoice,BestChoiceDriedApricots,78815221190,2.4400,18.6,16.6,0,0,14,12,3.88,6.7,22.9
84,252,BestChoice,BestChoiceFrostedDonuts,20771971344,2.7100,20.7,17.7,0,0,2,6,6.65,13.7,4.18
36,253,Choice,ChoiceTastyCandyBar,74969941973,0.8900,18.2,15.2,0,1,34,14,15.3,10.5,19.3
36,254,Choice,ChoiceMintChocolateBar,76164458394,0.5600,11.6,8.6,0,1,33,7,6.13,19.3,8.18
36,255,Choice,ChoiceMaltedMilkBalls,99600195288,0.6400,8.65,6.64,0,1,34,6,13.6,12.7,3.48
36,256,Choice,ChoiceSemi-SweetChocolateBar,46130347847,2.6500,21.7,20.7,1,0,28,14,10,18.3,11.2
37,257,Choice,ChoiceBubbleGum,62705981135,0.5300,6.89,5.88,0,1,5,5,18.2,17.6,15.3
38,258,Choice,ChoiceSpicyMints,68473899960,1.7200,18.6,16.6,1,0,27,7,7.26,17.5,13.5
38,259,Choice,ChoiceMints,61363868117,1.9000,18.4,17.3,1,0,20,14,7.38,15.6,7.96
36,260,Choice,ChoiceWhiteChocolateBar,36369553208,1.8400,21.9,18.8,0,0,16,7,17,21.6,13.7
5,261,Medalist,MedalistRavioli,57518588900,3.3800,17.5,14.5,1,0,5,6,9.16,17.2,4.39
5,262,Medalist,MedalistManicotti,91762040257,1.3400,21,20,1,0,31,9,17.4,21.1,5.19
5,263,Medalist,MedalistSpaghetti,82148842215,3.8000,13.9,11.8,1,0,1,7,4.53,17.5,6.78
57,264,Medalist,MedalistThaiRice,61727929711,2.7800,18.7,16.7,1,1,24,6,22,15.9,7.16
57,265,Medalist,MedalistRiceMedly,21352497935,3.6100,10.7,9.69,1,1,6,13,4.52,10.1,14
43,266,Good,GoodImportedBeer,84071481823,1.6200,6.89,5.88,0,0,13,12,16.2,13.4,7.12
44,267,Good,GoodLightWine,79031686186,0.8300,6.98,4.98,0,0,24,5,14.6,13.4,12.1
44,268,Good,GoodChardonnayWine,99771395325,1.7300,9.26,7.26,0,0,20,13,6.06,14.7,11.4
44,269,Good,GoodChablisWine,63969365954,2.8400,10.5,8.5,0,0,12,13,9.88,22.3,21.4
44,270,Good,GoodMerlotWine,65163882374,2.2400,9.71,6.71,1,0,35,13,4.16,6.7,16.6
44,271,Good,GoodChardonnay,88599619269,2.3700,12,9,1,0,31,12,15.6,7.97,15.9
44,272,Good,GoodWhiteZinfandelWine,35129771828,3.9100,7.07,6.07,1,0,2,10,8.64,19.8,17.5
43,273,Good,GoodLightBeer,51705405116,2.1800,9.35,6.35,0,0,33,8,20,21.1,16.8
27,274,Great,GreatPumpernickelBread,57473323941,3.7400,8.5,7.5,0,1,21,9,14.3,5.48,12.1
27,275,Great,GreatWhiteBread,19384593367,3.2700,17.4,14.3,1,0,35,11,12.6,14.2,18.5
27,276,Great,GreatRyeBread,84390278458,3.8600,6.2,5.19,1,1,11,8,9.13,19.2,8.96
26,277,Great,GreatEnglishMuffins,68952094912,2.4100,11.5,9.5,0,1,24,6,16.7,22.1,16.6
26,278,Great,GreatCranberryMuffins,13195546269,3.3600,8.55,5.55,1,1,2,7,14.4,9.99,9.49
26,279,Great,GreatMuffins,93582348227,2.8200,6.44,5.44,0,1,18,5,7.53,10.1,14.5
25,280,Great,GreatBagels,73161435723,1.8100,6.29,3.28,0,0,34,7,17.5,13.7,11.4
26,281,Great,GreatBlueberryMuffins,32786003947,2.6300,10.1,8.1,1,1,28,6,19.4,10.9,4.61
27,282,Great,GreatWheatBread,95504987835,0.9300,13.6,11.6,1,0,30,7,7.43,17,15.4
49,283,Super,SuperSesameOil,90465192198,2.7300,17.5,14.5,1,1,3,13,21.1,13.1,18.4
53,284,Super,SuperChunkyPeanutButter,32421942353,0.9900,7.71,5.71,0,1,22,9,4.45,17.2,13.4
51,285,Super,SuperHotChocolate,86619912981,1.8600,9.85,7.85,0,1,28,7,15.6,18.7,17.1
50,286,Super,SuperBrownSugar,63912299275,1.4200,8.25,7.25,1,0,35,9,20.1,5.57,14.5
50,287,Super,SuperWhiteSugar,10033125281,1.5600,11.7,10.6,1,1,21,5,18.3,14.9,17.8
90,288,Super,SuperFrenchRoastCoffee,46563277840,2.8600,18.9,16.8,0,0,33,8,4.62,21.2,12.4
90,289,Super,SuperDecafCoffee,39236781001,1.3700,7.96,5.96,0,0,16,10,9.75,20.5,20.8
90,290,Super,SuperRegularCoffee,45004699826,1.7000,6.09,3.09,1,0,14,5,12.3,14.9,21.3
49,291,Super,SuperVegetableOil,30818099379,2.2200,9.24,7.23,0,0,32,11,9.32,22.9,10.3
49,292,Super,SuperCornOil,95823784470,1.8100,7.64,5.63,0,1,23,8,3.9,4.2,5.24
48,293,Super,SuperTomatoSauce,26972820162,1.6000,10.6,8.6,0,0,5,9,9.82,22.4,21.1
49,294,Super,SuperCanolaOil,37314141392,1.3200,10.9,7.89,0,1,30,10,13.4,19.4,10.4
33,295,Super,SuperGrapePreserves,27700943350,3.1200,9.4,8.39,1,1,21,13,16.2,6.24,12.8
90,296,Super,SuperColumbianCoffee,62951875329,0.5000,11,8,1,0,36,7,5.45,19.9,21.7
31,297,Super,SuperStrawberryJelly,22576443552,0.9000,17.4,14.3,0,1,26,8,17.4,18.1,14.7
4,298,Super,SuperPepper,61393297314,2.8300,17.7,15.7,0,1,34,11,19.3,9.38,8.49
33,299,Super,SuperLowFatAppleButter,80255631804,1.6800,16.6,14.6,0,0,27,12,15,14,3.22
4,300,Super,SuperSalt,22212381958,2.9400,16.8,14.7,1,0,5,8,8.62,16.5,15
33,301,Super,SuperAppleButter,76410352587,0.5300,10.8,8.8,0,1,22,13,18.4,6.37,21.3
4,302,Super,SuperOregano,53702738881,3.4500,13.7,11.6,1,0,26,7,5.84,15.7,17.2
31,303,Super,SuperAppleJelly,11040605902,2.5800,13.6,11.6,1,1,32,8,5.96,13.7,11.7
32,304,Super,SuperGrapeJam,47570758461,1.8900,10.1,8.1,1,0,24,10,22.1,20.4,14.6
32,305,Super,SuperAppleJam,29027220606,3.3900,6.72,5.71,0,1,4,10,7.47,17.2,20.1
32,306,Super,SuperStrawberryJam,34795139431,3.9600,16.5,14.5,0,1,29,13,21,9.34,3.8
53,307,Super,SuperCreamyPeanutButter,20608538985,1.4800,18.2,15.2,0,1,9,10,9.67,16.3,7.67
33,308,Super,SuperStrawberryPreserves,61712093949,2.1800,8.82,7.81,0,1,24,10,15.3,6.02,7.47
53,309,Super,SuperExtraChunkyPeanutButter,16763259768,3.6200,18.7,17.7,1,1,6,13,5.92,11.4,13.7
33,310,Super,SuperApplePreserves,27104580998,0.7600,10.8,8.8,1,1,29,11,16.4,22.2,13.1
31,311,Super,SuperGrapeJelly,17491382956,2.1500,9.67,8.67,0,0,5,9,13.2,20.2,17.8
30,312,Excellent,ExcellentBerryJuice,20972600579,2.1300,12.6,10.6,1,0,2,12,12.4,8.55,3.71
52,313,Excellent,ExcellentMangoDrink,11575867533,2.8500,7.12,5.11,0,1,16,12,4.89,3.73,10.4
52,314,Excellent,ExcellentStrawberryDrink,50392721295,1.8500,9.26,7.26,0,1,22,10,16,5.25,14.1
19,315,Excellent,ExcellentCreamSoda,69255055785,0.9600,15.5,14.5,0,0,29,12,18,7.06,4.09
19,316,Excellent,ExcellentDietSoda,77309675812,1.3100,7.28,5.28,1,0,22,9,16.8,4.27,21.6
19,317,Excellent,ExcellentCola,65409776568,2.1800,13.1,11.1,1,0,22,14,7.56,10.2,19.8
19,318,Excellent,ExcellentDietCola,42702162861,2.4700,17.8,16.7,1,0,8,12,9.17,10.5,13.3
30,319,Excellent,ExcellentOrangeJuice,90040029883,1.6000,9.58,7.57,0,0,6,12,7.97,7.76,10.9
30,320,Excellent,ExcellentCranberryJuice,36570182442,3.2600,16.4,14.3,0,0,14,12,13.6,3.87,13.7
30,321,Excellent,ExcellentAppleJuice,29243685603,2.4100,13.2,12.1,1,0,13,13,17.7,9.2,14.7
52,322,Excellent,ExcellentAppleDrink,35011604428,2.9800,12.8,10.8,0,0,28,8,14,21.3,4.84
35,323,Best,BestOatmeal,75705832839,3.5000,15.4,12.3,0,1,19,6,7.44,19.6,18.4
35,324,Best,BestCornPuffs,50711517930,1.9700,7.43,5.42,0,0,13,9,19.9,8.22,22.8
35,325,Best,BestWheatPuffs,71860553622,1.5100,19.1,18.1,1,0,29,7,19.3,20.4,8.52
35,326,Best,BestGrits,16104004979,2.4700,8.87,6.86,1,0,5,11,20.4,7.75,13.6
62,327,Better,BetterCannedBeets,96490806937,0.6000,8.6,7.6,0,1,26,10,18.5,18.8,8.49
62,328,Better,BetterCreamedCorn,99972024559,1.2600,11.6,10.6,1,0,26,9,4.6,5.99,19.4
62,329,Better,BetterCannedStringBeans,59596592783,1.7400,10.9,8.89,1,1,22,8,3.61,20.6,14
58,330,Better,BetterChickenSoup,98413446545,3.9800,7.47,5.46,0,0,8,7,19.9,16.2,11.9
62,331,Better,BetterCannedYams,57990807890,2.8300,15.9,13.8,0,0,22,14,3.51,13.7,18.7
58,332,Better,BetterVegetableSoup,66045427918,2.2100,9.36,7.35,0,0,25,8,22.8,21.3,7.64
62,333,Better,BetterCannedTomatos,54145528674,1.3200,17.9,16.8,0,1,33,14,5.86,12.2,9.37
58,334,Better,BetterNoodleSoup,31437914967,0.7800,9,8,1,0,26,7,13.7,18.5,19
58,335,Better,BetterRegularRamenSoup,78775781989,3.7400,8.73,6.72,1,0,17,13,6.99,17.7,8.37
58,336,Better,BetterChickenNoodleSoup,25305934548,1.1500,13.1,11.1,1,0,2,10,19.9,3.92,3.89
58,337,Better,BetterTurkeyNoodleSoup,17979437708,0.7500,8.34,7.34,1,1,9,10,18.4,21.6,4.76
58,338,Better,BetterBeefSoup,23747356534,0.5700,16.9,14.8,1,0,6,10,11.3,18,8.98
62,339,Better,BetterCannedPeas,75658625960,1.4000,21.3,19.2,1,1,31,9,14.3,18.6,22
58,340,Better,BetterChickenRamenSoup,50664311051,0.6300,16,13,1,1,6,12,20.5,5.21,15.5
93,341,Better,BetterCannedTunainWater,60596305727,2.7700,21.7,19.7,0,0,19,6,22.9,19.2,3
93,342,Better,BetterCannedTunainOil,94839757084,1.5000,14.2,13.1,1,1,26,11,17.7,4.6,17.2
94,343,Better,BetterLargeCannedShrimp,85226559042,2.3000,8.55,6.55,0,0,29,10,10.5,6.7,13.3
95,344,Better,BetterFancyCannedAnchovies,88707776665,2.2800,10.5,7.5,1,1,24,5,14,9.34,14.6
96,345,Better,BetterFancyCannedClams,24430214762,2.1100,17.6,16.6,1,1,36,12,12,10.1,21.7
97,346,Better,BetterFancyCannedOysters,87149198651,2.1200,15.6,12.6,0,0,30,8,12.9,18,4.3
98,347,Better,BetterFancyCannedSardines,16011533141,1.2000,11.8,8.8,0,1,7,12,14.2,9.13,9.88
58,348,Better,BetterRiceSoup,24066153168,1.2300,7.98,5.98,1,0,25,5,7.29,14.6,7.97
3,349,Swell,SwellCannedMixedFruit,65579034686,2.3400,8.62,7.61,0,1,3,7,5.14,16.2,12
3,350,Swell,SwellCannedPeaches,42871420979,1.6300,15.3,12.3,1,0,12,8,9.54,3.6,6.82
89,351,ADJ,ADJRosySunglasses,66307157874,2.7600,19.6,18.6,1,0,26,8,13.6,17.5,9.84
103,352,BlackTie,BlackTieEyeglassScrewdriver,36739440560,0.6700,10.6,8.6,0,0,8,7,6.19,12.4,17.6
102,353,BlackTie,BlackTieCityMap,29412943720,1.5700,8.78,7.77,1,0,1,14,17.1,16.7,3.26
15,354,Carlson,CarlsonLowFatCottageCheese,35180862545,2.2500,9.77,8.77,0,0,8,5,20.2,7.92,17.9
14,355,Carlson,CarlsonLowFatSourCream,87092131972,0.8100,12.2,11.1,0,0,17,7,22.2,20.3,14.4
14,356,Carlson,CarlsonSourCream,62097817063,2.3600,8.79,5.78,1,0,33,6,7.61,17,19.9
11,357,Carlson,CarlsonJackCheese,83246852755,1.8000,12.2,9.19,1,1,17,6,15.9,20.8,20.7
11,358,Carlson,CarlsonMuensterCheese,16273263096,3.7500,19.3,16.2,0,0,30,10,14.8,6.08,22.9
11,359,Carlson,CarlsonStringCheese,96660065054,1.3200,20.9,18.8,1,0,16,6,15.2,7.58,19.2
11,360,Carlson,CarlsonLowFatStringCheese,10141282677,1.3100,9.8,6.8,1,1,20,10,20.4,4.85,22.1
11,361,Carlson,CarlsonHavartiCheese,35863720774,1.1300,14.1,12.1,1,0,15,12,14.7,13.2,22.6
11,362,Carlson,CarlsonHeadCheese,98582704663,3.9700,10.8,9.8,0,0,26,9,18.3,9.91,13.1
11,363,Carlson,CarlsonCheeseSpread,27445039153,1.8200,8.71,6.71,1,1,22,13,12.2,10.1,15.5
11,364,Carlson,CarlsonSharpCheddarCheese,35499659180,2.2000,17.1,15.1,0,0,7,10,17.1,9.87,7.25
11,365,Carlson,CarlsonMildCheddarCheese,23599759936,3.9600,11.9,9.89,1,0,29,5,21.6,16.4,5.76
15,366,Carlson,CarlsonLargeCurdCottageCheese,90892146229,2.3600,19.6,16.6,1,0,32,11,20.3,22.7,22.7
76,367,Carlson,Carlson2Milk,55306581854,3.4900,11.6,9.6,1,0,27,5,12.9,11.4,7.15
76,368,Carlson,CarlsonButtermilk,91836734414,1.1400,14.4,12.3,0,0,13,12,4.92,9.36,21.2
76,369,Carlson,CarlsonChocolateMilk,18412367701,2.3000,19.4,17.3,0,0,31,13,10,8.6,9.71
76,370,Carlson,Carlson1Milk,24180286526,0.9200,6.63,5.63,1,0,35,13,17.9,11.1,13.6
76,371,Carlson,CarlsonWholeMilk,76091555953,0.6600,9.78,7.77,1,0,13,5,14.9,19.1,22.6
6,372,Carlson,CarlsonStrawberryYogurt,51097241044,3.9800,14.8,12.8,0,0,30,7,20,18.3,11
6,373,Carlson,CarlsonBlueberryYogurt,72246276736,2.7600,11.9,10.8,1,1,19,13,6.33,9.54,21.3
81,374,Moms,MomsChickenHotDogs,16489728093,1.4900,11.3,10.3,1,0,32,6,13.7,18.6,18.4
91,375,Moms,MomsPimentoLoaf,96876530051,2.2900,18.4,17.3,1,0,27,13,11.5,10.5,10.5
91,376,Moms,MomsBeefBologna,64974904656,2.2700,12.3,11.3,0,1,3,5,11.8,12.6,4.38
91,377,Moms,MomsLowFatBologna,24599472880,2.1000,18,17,0,0,7,12,3.03,14.3,6.97
81,378,Moms,MomsTurkeyHotDogs,87318456768,1.1100,17.3,16.2,1,1,6,14,3.21,6.91,8.95
81,379,Moms,MomsFoot-LongHotDogs,82278661131,3.8500,16.2,14.2,1,0,34,6,18.9,11.5,3.68
16,380,Moms,MomsLowFatColeSlaw,24235411286,1.2200,21.4,19.3,1,1,6,7,17.7,22.1,18.9
16,381,Moms,MomsColeSlaw,78433381915,2.3300,10.3,8.3,1,1,23,12,22.2,3.9,21.7
77,382,Moms,MomsRoastedChicken,79627898335,1.6200,10.2,8.19,1,1,27,6,12.4,16.3,13.7
8,383,Moms,MomsCornedBeef,13063635230,2.7500,13.2,11.1,1,1,33,7,9.78,11.3,12.1
8,384,Moms,MomsSlicedTurkey,49593787789,0.5400,14.7,12.6,1,1,25,9,11.2,6.15,18.5
8,385,Moms,MomsSlicedHam,31050249934,1.5600,11.3,9.3,0,0,5,9,16.6,22.8,3.99
16,386,Moms,MomsPotatoSalad,36818168759,2.2300,16.9,13.8,1,1,15,10,14.4,9.91,19.5
8,387,Moms,MomsSlicedChicken,88729438185,2.4100,17.7,16.7,1,0,14,8,19,21.3,13.6
66,388,Urban,UrbanSmallBrownEggs,63735123276,2.3500,19.3,17.2,1,1,35,12,19.4,22.8,10
66,389,Urban,UrbanLargeBrownEggs,84884158968,1.7900,14.1,12.1,0,0,27,10,14,3.86,6.05
66,390,Urban,UrbanSmallEggs,29127610325,3.7400,10.3,8.3,1,0,34,9,5.77,7.19,19.1
66,391,Urban,UrbanLargeEggs,19514412283,1.3100,9.21,7.21,0,0,9,7,22.5,5.17,3.87
66,392,Urban,UrbanEggSubstitute,89093499779,1.3000,13,10,0,1,29,13,5.84,9.12,19.4
34,393,BigTime,BigTimeLowFatWaffles,48718068003,1.1200,21.5,19.5,1,0,14,9,10.6,8.88,11.1
110,394,BigTime,BigTimeOrangePopsicles,76317880749,3.1300,10.4,7.39,1,0,13,12,5.83,11.7,16.5
100,395,BigTime,BigTimeFrozenChickenBreast,71278085112,2.2200,8.3,6.3,1,0,30,6,18.9,11.8,21.5
29,396,BigTime,BigTimeFrozenPancakes,13234835267,3.2400,16.3,14.2,1,0,25,10,11.4,20.4,5.92
63,397,BigTime,BigTimeLowFatFrenchFries,67432805895,1.3500,12,9,0,0,5,7,10.8,12.6,11.6
64,398,BigTime,BigTimeFrozenSausagePizza,68627322316,0.8000,15.5,12.5,1,1,7,7,18.8,18.7,22.4
34,399,BigTime,BigTimeBlueberryWaffles,92063059210,0.8700,10.2,8.19,0,0,29,7,15.1,19.7,13.4
63,400,BigTime,BigTimeFajitaFrenchFries,38593211770,1.4300,9.57,8.56,1,0,34,10,15.8,18.9,20.4
34,401,BigTime,BigTimeWaffles,55168845057,0.7000,13.9,11.8,0,0,30,8,20.1,21.7,18.4
64,402,BigTime,BigTimeFrozenPepperoniPizza,60936763882,1.1300,9.16,7.15,1,1,8,5,7.49,11.6,11.8
64,403,BigTime,BigTimeFrozenCheesePizza,77728862166,1.5500,13.6,11.6,1,1,33,6,9.78,16.6,4.85
64,404,BigTime,BigTimeFrozenMushroomPizza,52734547257,1.2500,6.98,3.98,1,0,35,9,9.14,4.28,13.8
34,405,BigTime,BigTimeAppleCinnamonWaffles,73883582949,3.6900,19.6,17.6,0,0,33,12,13.3,7.65,9.24
60,406,BigTime,BigTimeFrozenCarrots,18127034306,1.6400,20.7,18.7,0,0,1,8,22.8,4.74,20.6
10,407,BigTime,BigTimeTurkeyTVDinner,98513836264,3.2100,6.35,5.34,0,1,34,9,13.2,20.6,14.5
10,408,BigTime,BigTimeChickenTVDinner,78092923760,2.2000,15.7,14.6,1,1,19,6,11.5,14.9,13.4
10,409,BigTime,BigTimeBeefTVDinner,37717491984,3.9100,10.9,8.89,1,1,15,11,10,12.6,14.3
28,410,BigTime,BigTimePancakeMix,10436475872,1.2600,19.8,18.7,0,1,8,7,7.9,19.1,13.4
110,411,BigTime,BigTimeGrapePopsicles,95396680235,0.5100,8.25,7.25,1,1,33,6,10.9,19.7,6.45
63,412,BigTime,BigTimeHomeStyleFrenchFries,91970587372,1.3800,18.9,15.8,1,1,14,12,17.1,6.28,19.9
110,413,BigTime,BigTimeLimePopsicles,56168558001,2.2500,18.4,17.3,1,0,28,6,14.2,12,4.55
9,414,BigTime,BigTimeIceCream,33460944294,2.7700,19.9,16.8,1,1,3,12,12,19.9,16.3
9,415,BigTime,BigTimeIceCreamSandwich,80798811316,2.9100,17.4,16.3,1,1,6,10,21.9,18.9,16.5
60,416,BigTime,BigTimeFrozenCauliflower,27328963875,3.3200,7.2,6.19,1,0,21,8,21.7,4.05,16.6
60,417,BigTime,BigTimeFrozenBroccoli,20002467036,2.7200,14.2,12.1,1,0,4,9,19.7,4.82,3.76
60,418,BigTime,BigTimeFrozenCorn,25770385861,3.1600,13.2,11.1,1,0,15,13,4.8,8.34,15.9
60,419,BigTime,BigTimeFrozenPeas,11583785414,3.5700,8.5,6.5,0,0,10,9,22,3.84,11.8
9,420,BigTime,BigTimePopsicles,41470299363,2.2700,20.6,19.6,1,1,29,12,15,9.4,9.94
100,421,BigTime,BigTimeFrozenChickenThighs,62619335055,2.9500,6.19,4.19,1,0,23,11,16.9,6.53,3.71
100,422,BigTime,BigTimeFrozenChickenWings,72960656285,3.6700,7.87,5.86,0,1,33,12,16,5.8,15
110,423,BigTime,BigTimeLemonPopsicles,63347458243,1.4700,17.2,15.2,0,1,5,9,5.5,7.84,21.5
78,424,Steady,SteadySilkySmoothHairConditioner,66828675866,1.4500,9.65,7.64,1,0,14,7,21.1,17.6,10.7
39,425,Steady,SteadyTartarControlToothpaste,26453244090,1.2800,9.18,6.18,0,0,29,7,18.9,20.9,20.9
39,426,Steady,SteadyWhiteningToothpast,65270097851,0.6000,11.5,10.5,0,0,30,13,8.92,11,20.1
39,427,Steady,SteadyToothpaste,84132432341,2.1400,8.89,5.89,0,0,26,7,13.5,13,16
39,428,Steady,SteadyDeodorant,26089182496,0.6700,8.43,7.43,0,0,6,7,11.3,16.3,6.18
79,429,Steady,SteadyConditioningShampoo,67602064013,1.5100,12,10,1,0,7,13,21.2,6.71,4.93
79,430,Steady,SteadyExtraMoistureShampoo,44894450306,1.8000,11.5,8.5,1,0,32,12,19,10,15
88,431,Steady,SteadyAngledToothbrush,92232317328,0.9600,19.9,18.8,0,0,11,12,18.4,3.9,7.5
79,432,Steady,SteadyApricotShampoo,38762469887,2.3500,11.3,9.3,0,0,13,9,13.7,22.1,10.2
70,433,Steady,SteadyChildrensAspirin,31435973048,1.7400,10.8,8.8,1,0,28,9,11.5,5.49,20.3
70,434,Steady,SteadyBufferedAspirin,37203891873,1.4200,19.1,18.1,0,0,17,8,10.8,19.3,12.7
71,435,Steady,Steady200MGIbuprofen,23017291426,2.8300,11.8,9.8,1,0,18,6,6.09,17.8,14.9
72,436,Steady,Steady200MGAcetominifen,64120846390,1.5300,6.32,4.32,0,0,33,5,18.5,13,21.6
73,437,Steady,SteadyHCLNasalSpray,19172012209,1.9700,19.9,17.8,0,0,14,9,8.21,5.08,12.3
73,438,Steady,SteadyDishwasherDetergent,84394162297,1.9300,19.5,16.5,1,0,35,12,5.99,8.38,22.5
75,439,Steady,SteadyMulti-SymptomColdRemedy,74780964255,3.5000,21.8,20.7,1,0,1,10,15.9,18.5,21.8
75,440,Steady,SteadyChildrensColdRemedy,78262181878,0.6700,19.2,17.2,1,0,26,9,20.6,20.5,17.6
74,441,Steady,SteadyLaundryDetergent,37886750102,0.5700,13.7,10.6,1,0,6,8,13.1,15.7,4.37
74,442,Steady,SteadyMintMouthwash,76703603863,2.2400,21.1,20.1,0,0,8,6,8.4,14,7.08
80,443,RedWing,RedWing60WattLightbulb,95565938353,1.3300,20.6,18.6,1,0,29,10,6.18,17.3,17.2
56,444,RedWing,RedWingPlasticForks,13620558381,2.5900,20.1,18.1,0,0,9,10,20.4,22.5,7.8
56,445,RedWing,RedWingPlasticSpoons,91720659136,3.4600,16.5,15.5,1,0,17,11,21,8.96,13.9
56,446,RedWing,RedWingPlasticKnives,69013045430,3.7500,11,9,0,0,31,10,13.4,4.14,20.6
101,447,RedWing,RedWingC-SizeBatteries,81231741309,2.8800,19.4,17.3,1,0,15,6,12.8,18,13
80,448,RedWing,RedWing100WattLightbulb,27761893868,1.5400,15.8,14.8,0,0,23,7,13.4,4.44,19.2
101,449,RedWing,RedWingAAA-SizeBatteries,20435397028,3.6900,10.3,8.3,1,0,9,10,5.9,19.6,5.93
55,450,RedWing,RedWingPaperPlates,26203315854,3.3700,18.9,17.8,0,0,18,10,10.2,3.56,13.2
55,451,RedWing,RedWingPaperCups,78114585280,1.7800,13.4,11.3,1,0,25,11,22.7,18.7,19.9
80,452,RedWing,RedWing75WattLightbulb,53120270371,2.4800,11.1,8.1,0,0,5,11,3.26,5.32,5.54
22,453,RedWing,RedWingToiletBowlCleaner,74269306063,2.9200,19.4,18.3,1,0,24,6,22.6,19.2,17.9
22,454,RedWing,RedWingCounterCleaner,18512757420,0.9300,14,12,0,0,3,6,15,14.3,4.68
22,455,RedWing,RedWingGlassCleaner,64571403861,1.6800,10.4,7.39,1,0,11,7,15.6,20.7,10.8
80,456,RedWing,RedWing25WattLightbulb,68052621483,2.6700,13.7,12.6,1,0,30,11,9.73,6.56,19.8
101,457,RedWing,RedWingAA-SizeBatteries,27677189707,2.2600,13.2,11.1,1,0,10,11,7.51,9.86,9.95
101,458,RedWing,RedWingD-SizeBatteries,66494043469,1.5000,16.8,14.7,1,0,10,9,17.4,20.1,8.7
18,459,RedWing,RedWingPaperTowels,85356377959,0.6400,16.4,15.3,0,0,31,12,15.2,3.49,18.8
18,460,RedWing,RedWingSoftNapkins,93410997986,1.6100,13.7,11.6,1,0,21,11,19.8,5.52,14.6
18,461,RedWing,RedWingScentedTissue,81511098742,2.7200,16.1,13.1,0,0,23,8,9.86,15.6,13.9
18,462,RedWing,RedWingToiletPaper,58803485035,2.1200,15.6,14.6,1,0,2,8,7.65,18.9,4.12
18,463,RedWing,RedWingTissues,16141352057,1.2500,8.28,5.27,1,0,18,12,11.9,22.9,11.4
18,464,RedWing,RedWingScentedToiletTissue,41454463601,3.5600,15.6,14.6,1,0,20,9,7.28,21.1,14.1
20,465,RedWing,RedWingRoomFreshener,34127966761,2.9500,15.2,13.1,0,0,35,9,5.06,4.5,4.26
40,466,RedWing,RedWingFryingPan,39895885586,2.6300,8.79,5.78,0,0,23,8,4.36,18.5,16.1
87,467,RedWing,RedWingCopperCleaner,91807155013,3.8100,8.33,7.32,1,0,3,7,22.1,21.8,6.3
47,468,RedWing,RedWingBeesWaxCandles,66812840104,1.7400,10.6,9.6,1,0,5,14,12.1,12,5.58
87,469,RedWing,RedWingSilverCleaner,87961875796,1.2900,8.03,5.02,1,0,30,13,16.7,14,21.4
86,470,RedWing,RedWingCopperPotScrubber,32205327153,2.9000,7.57,5.57,1,0,15,7,14.5,17.3,11.5
85,471,RedWing,RedWingEconomyToiletBrush,22592129111,0.8300,9.93,7.93,0,0,17,14,4.55,7.5,10.8
41,472,RedWing,RedWingScissors,57052045464,0.8200,9.47,8.47,1,0,10,12,22.3,10.8,20.9
42,473,RedWing,RedWingLargeSponge,82774483561,0.7300,14,12,0,0,24,12,21.8,4.17,15
41,474,RedWing,RedWingScrewDriver,55493467450,3.5200,21.3,19.2,1,0,26,10,17.1,22.4,17.7
